PaperID,Title,Author,Year,Subject,Educational level,Contexts,Specific contexts
P1,"“ChatGPT is the companion, not enemies”: EFL learners’ perceptions and experiences in using ChatGPT for feedback in writing","Teng, Mark Feng",2024,Language Learning,Not specific,writing, provide feedback on L2 writing(English)
P2,"A Constructivist Model for Leveraging GenAI Tools for Individualized, Peer-Simulated Feedback on Student Writing",Abby Mcguire; Warda Qureshi; Mariam Saad,2024,Management,higher education,writing,provide stimutaed peer feedback on writing
P3,A Language Model-Powered Simulated Patient With AutomatedFeedback for History Taking:Prospective Study,"Holderried, Friederike; Stegemann-Philipps, Christian; Herrmann-Werner, Anne; Festl-Wietek, Teresa; Holderried, Martin; Eickhoff, Carsten; Mahling, Moritz",2024,Medicine,higher education,medical task,provide structured feedback on medical students’ performance in history taking with a simulated patient.
P4,AI or Human? Evaluating Student Feedback Perceptions in Higher Education,"Nazaretsky, Tanya; Mejia-Domenzain, Paola; Swamy, Vinitra; Frej, Jibril; K√§ser, Tanja",2024,Mix,higher education,general assignments,provide feedback on assignments
P5,"AI Teaches the Art of Elegant Coding: Timely, Fair, and Helpful Style Feedback in a Global Course","Woodrow, Juliette; Malik, Ali; Piech, Chris",2024,Computer Science,higher education,programming,provide feedback on programming assignments
P6,AI-Generated Feedback on Writing: Insights into Efficacy and ENL Student Preference,"Escalante, Juan; Pack, Austin; Barrett, Alex",2023,Academic Writing Learning,higher education,writing, provide feedback on academic writing
P7,Analysis of the Effectiveness of Large Language Models in Assessing Argumentative Writing and Generating Feedback,"da Silva, Daisy Cristine Albuquerque; de Mello, Carlos Eduardo; Garcia, Ana Cristina Bicharra",2024,Language Learning,higher education,writing, provide feedback on argumentative writing
P8,Assessing Online Writing Feedback Resources: Generative AI vs. Good Samaritans,"Behzad, Shabnam; Kashefi, Omid; Somasundaran, Swapna",2024,Language Learning,not specific,writing, provide feedback on L2 writing(English)
P9,Assessing the proficiency of large language models in automatic feedback generation: An evaluation study,"Dai, Wei; Tsai, Yi-Shan; Lin, Jionghao; Aldino, Ahmad; Jin, Hua; Li, Tongguang; Ga≈°eviƒá, Dragan; Chen, Guanliang",2024,Marketing,higher education,writing, provide feedback on writing proposal tasks for marking
P10,Automated Focused Feedback Generation for Scientific Writing Assistance,"Chamoun, Eric; Schlichktrull, Michael; Vlachos, Andreas",2024,Language Learning,not specific,writing, provide feedback on Scientific Writing
P11,Automatic Annotation Elaboration as Feedback to Sign Language Learners,"Battisti, Alessia; Ebling, Sarah",2024,Sign Language,not specific,sign language assessment, provide feedback on sign language assessment
P12,Automatic Feedback Generation on K-12 Students' Data Science Education by Prompting Cloud-based Large Language Models,"Fung, Sze Ching Evelyn; Wong, Man Fai; Tan, Chee Wei",2024,Computer Science,K-12,general assignments,provide feedback on assignments
P13,Automating Human Tutor-Style Programming Feedback: Leveraging GPT-4 Tutor Model for Hint Generation and GPT-3.5 Student Model for Hint Validation,"Phung, Tung; PƒÉdurean, Victor-Alexandru; Singh, Anjali; Brooks, Christopher; Cambronero, Jos√©; Gulwani, Sumit; Singla, Adish; Soares, Gustavo",2024,Computer Science,higher education,programming,provide feedback on human tutor-style programming
